Place,Count
Afrika,1
Ahlefeldt,1
Amsterdam,2
Anhalt,5
Ansbach,1
Augsburg,1
Augsburger,1
Avranches,1
Baden,6
Bayern,13
Belgrad,7
Bellamont,1
Berlin,11
Borgholzhausen,1
Brandenburg,9
Buda,3
Böhmen,1
Celle,6
Clausthal,1
Condom,1
Dalmatien,1
Deutschland,3
Dohna,2
Donau,1
Dresden,1
Dänemark,6
Ebstorf,7
England,17
Engländer,10
Etsch,1
Euböa,1
Europa,5
Europäer,1
Florenz,2
Franken,1
Frankfurt,2
Frankreich,35
Freising,1
Fürstenberg,1
Fürstenfeldbruck,1
Genua,1
Goslar,1
Gotha,1
Greiffenstein,1
Großbritannien,4
Grönland,1
Göhrde,2
Hamburg,1
Hammerstein,1
Hannover,40
Hanover,3
Harburger,2
Heidelberg,1
Hessen,3
Hessen-Kassel,1
Holland,5
Holländer,2
Holstein,1
Idria,1
Ilok,1
Inn,1
Israel,1
Italien,3
Italiener,1
Karlsbad,1
Kassel,2
Koblenz,1
Konstantinopel,1
Kurpfalz,1
Kärnten,1
Köln,2
Königsmarck,3
La Trappe,3
Laxenburg,1
Levante,1
Linsburg,3
Loccum,6
London,1
Loreto,2
Lothringen,7
Lyon,3
Lüneborg,1
Lüneburg,9
Lüttich,1
Mainz,2
Mantua,1
Maubuisson,2
Meaux,12
Mecklenburg,1
Modena,13
Morea,1
München,5
Namur,1
Nauplia,1
Neuburg,2
Nizza,1
Nordmeer,1
Oranien,16
Orléans,1
Ostfriesland,2
Paris,3
Peterwardein,2
Pfalz,2
Pfalz-Neuburg,1
Philippsburg,1
Plittersdorf,1
Po,1
Pottendorf,1
Prag,1
Preußen,1
Regensburg,4
Rhein,7
Rom,3
Ruhr,3
Römer,1
Sachsen,1
Sachsen-Gotha,1
Saint Cyr,1
Salzburg,1
Savoyen,4
Schotte,1
Schweden,1
Siebenbürgen,3
Sorbonne,2
Spanien,2
Spanier,2
Starhemberg,2
Steiermark,1
Sulzbach,2
Temeswar,2
Toskana,2
Transsilvanien,1
Ungarn,5
Venedig,7
Venezianer,3
Vesuv,1
Walachei,1
Wales,4
Wangenheim,1
Wardein,1
Wien,20
Wolfenbüttel,6
Württemberg,1
Zell,1
Zellerfeld,2
