Place,Count
Aachen,5
Adda,3
Afrika,9
Ahlden,6
Alpen,3
Alster,3
Altdorf,9
Altona,5
Amerika,8
Amsterdam,27
Amsterdamer,6
Anhalt,27
Anjou,11
Ansbach,18
Antwerpen,3
Aquileja,2
Armenier,3
Asien,6
Astrachan,3
Augsburg,23
Australier,3
Auvergne,4
Avranches,8
Baden,20
Bamberg,6
Barcelona,10
Bayern,97
Bayreuth,12
Beichlingen,15
Belgrad,21
Bender,4
Berlin,520
Bevern,19
Bille,3
Blankenburg,7
Bonn,3
Borgholzhausen,3
Borgoforte,3
Boulogne,3
Bourg,3
Brandenburg,143
Brandenburger,9
Braunschweig,392
Breda,3
Bremen,9
Brenta,3
Brescello,6
Breslau,18
Bretagne,3
Bristol,2
Bruchhausen,6
Brüssel,7
Buckow,6
Buda,9
Burgdorf,9
Burgund,29
Böhmen,9
Bückeburg,10
Cadiz,3
Cambray,2
Cambridge,5
Campen,6
Celle,223
Chaldäa,6
Chaldäer,18
Champagne,2
Charlottenburg,9
China,29
Chios,3
Clausthal,3
Condom,3
Coppenbrügge,2
Crossen,2
Dalmatien,3
Danzig,9
Den Haag,21
Detmold,3
Deutschland,58
Dixmuiden,3
Dohna,19
Donau,22
Donauwörth,9
Dover,2
Dresden,32
Dänemark,111
Düsseldorf,6
Ebdorff,3
Ebstorf,21
Eider,3
Elbe,14
Elbing,2
England,434
Engländer,114
Ephesus,3
Essen,19
Etsch,3
Euböa,3
Europa,60
Europäer,3
Ferrara,3
Finnland,12
Florenz,12
Franken,8
Frankfurt,23
Frankreich,363
Franzose,6
Freising,3
Friesland,5
Fuentes,3
Fürstenberg,9
Fürstenfeldbruck,3
Gandersheim,3
Genf,3
Genua,5
Gibel,3
Gibraltar,3
Glogau,3
Goslar,3
Gotha,9
Graupen,6
Greiffenstein,3
Greifswald,2
Großbritannien,56
Großburgwedel,3
Grönland,3
Gundelsheim,3
Göhrde,18
Göteborg,6
Güstrow,3
Hackelberg,3
Halle,6
Hamburg,46
Hammerstein,23
Hannover,738
Harburg,16
Harz,24
Heidelberg,8
Helmstedt,27
Herford,3
Herrenhausen,178
Herzberg,3
Hessen,16
Hessen-Kassel,3
Het Loo,12
Hildesheim,67
Holland,150
Holländer,41
Holstein,66
Homburg,3
Hundisburg,3
Idria,3
Ilok,3
Indien,18
Ingenheim,3
Inn,5
Innsbruck,5
Irland,6
Israel,3
Italien,91
Italiener,18
Jena,9
Jerusalem,3
Kairo,6
Kap der Guten Hoffnung,3
Karlsbad,23
Kasan,3
Kassel,34
Kehl,3
Kiel,3
Kiew,3
Kliszów,6
Kniphausen,6
Koblenz,3
Konstantinopel,12
Kopenhagen,3
Krakau,39
Kroatien,3
Kurland,24
Kurpfalz,3
Kärnten,3
Köln,39
Königreich,58
Königsberg,3
Königsmarck,24
Königstein,9
Köpenick,5
La Trappe,9
Lamspringe,9
Landsberg,2
Lauenburg,6
Laxemburg,3
Laxenburg,2
Lehnin,9
